size,MAE,ppvalue,barrier,method,landscape
40,0.70687564301295,0.57667313220347,strong,clustering,scarcely
40,2.08495066583421,0.310410686820857,strong,clustering,scarcely
40,1.75708795401449,0.369459345914904,strong,clustering,scarcely
40,2.57068065291512,0.400327814749804,strong,clustering,scarcely
40,2.53842940372249,0.632892452130006,strong,clustering,scarcely
40,2.08794904879189,0.518467973175232,strong,clustering,scarcely
40,2.30732932004015,0.557686002894845,strong,clustering,scarcely
40,1.59814539038589,0.517386005166355,strong,clustering,scarcely
40,1.44501905582742,0.572008477373054,strong,clustering,scarcely
40,1.72857799606867,0.29554887754585,strong,clustering,scarcely
35,1.50681027899759,0.500935654476957,strong,clustering,scarcely
35,1.47819790966596,0.393542054880306,strong,clustering,scarcely
35,1.31106638321838,0.628640542505035,strong,clustering,scarcely
35,2.23217949161731,0.707005431662875,strong,clustering,scarcely
35,2.7831386211575,0.525702872095635,strong,clustering,scarcely
35,1.82281050485434,0.682090589487131,strong,clustering,scarcely
35,1.23711257422182,0.435651816616371,strong,clustering,scarcely
35,2.39450927587659,0.628630743728617,strong,clustering,scarcely
35,1.65957492242898,0.504080293662512,strong,clustering,scarcely
35,1.08184197825445,0.583820067546417,strong,clustering,scarcely
30,2.5078722616816,0.712281299413124,strong,clustering,scarcely
30,1.45994425433916,0.434334705171016,strong,clustering,scarcely
30,1.93634985573702,0.576566258017348,strong,clustering,scarcely
30,1.26812684202298,0.347777176143701,strong,clustering,scarcely
30,1.49963647383071,0.459529052360151,strong,clustering,scarcely
30,2.14566721807311,0.580899742023804,strong,clustering,scarcely
30,1.10126875649225,0.442567377736017,strong,clustering,scarcely
30,1.7036679824779,0.697837920014001,strong,clustering,scarcely
30,1.21884191628993,0.509248010068581,strong,clustering,scarcely
30,1.67007760822281,0.58500017345515,strong,clustering,scarcely
25,2.69914695296713,0.560646582158072,strong,clustering,scarcely
25,3.05688117789648,0.346618944905916,strong,clustering,scarcely
25,3.22368373360005,0.733778809643236,strong,clustering,scarcely
